epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,174.487,1.50516,1.97958,1.55319,0.62068,0.55872,0.60981,0.29881,1.81241,1.57851,1.74551,0.000664975,0.000664975,0.000664975
2,308.229,1.47775,1.25807,1.50455,0.79851,0.72551,0.80787,0.43288,1.59888,1.11327,1.55418,0.00119981,0.00119981,0.00119981
3,442.324,1.45017,1.12517,1.48555,0.794,0.69641,0.77691,0.38926,1.67365,1.20563,1.59687,0.00160264,0.00160264,0.00160264
4,574.867,1.40018,1.03275,1.45981,0.83265,0.73233,0.82479,0.4504,1.55435,1.04945,1.50454,0.001406,0.001406,0.001406
5,707.265,1.34465,0.93015,1.40538,0.86949,0.77149,0.85994,0.50791,1.395,0.91432,1.41444,0.001208,0.001208,0.001208
6,841.965,1.30449,0.865,1.37263,0.86558,0.78992,0.88142,0.53183,1.3785,0.85303,1.39858,0.00101,0.00101,0.00101
7,973.282,1.2683,0.82356,1.34253,0.87539,0.81264,0.89966,0.54938,1.32939,0.79929,1.34342,0.000812,0.000812,0.000812
8,1104.79,1.22573,0.76371,1.31096,0.88416,0.81363,0.90434,0.57,1.27477,0.76162,1.31335,0.000614,0.000614,0.000614
9,1234.87,1.19608,0.71685,1.29032,0.90248,0.82812,0.91656,0.58597,1.25999,0.72704,1.29897,0.000416,0.000416,0.000416
10,1366.51,1.15263,0.67356,1.25729,0.8854,0.84972,0.91929,0.58574,1.25496,0.70248,1.29713,0.000218,0.000218,0.000218
