epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,222.272,1.37399,1.57059,1.43237,0.76359,0.71796,0.76987,0.40795,1.45158,1.33338,1.50962,0.000664975,0.000664975,0.000664975
2,457.299,1.3652,1.14404,1.39982,0.80677,0.68468,0.76478,0.41888,1.49899,1.25377,1.52897,0.00131846,0.00131846,0.00131846
3,705.779,1.3671,1.08296,1.39908,0.82045,0.69588,0.78665,0.44129,1.52409,1.1171,1.51193,0.00195874,0.00195874,0.00195874
4,946.893,1.3453,1.0244,1.38405,0.84268,0.72718,0.82742,0.49585,1.37429,1.03098,1.40197,0.0019406,0.0019406,0.0019406
5,1135.56,1.30957,0.97184,1.36639,0.85986,0.76622,0.85481,0.52202,1.37909,0.91069,1.39497,0.0019208,0.0019208,0.0019208
6,1376.28,1.28799,0.92855,1.34073,0.86236,0.77622,0.87169,0.52024,1.36986,0.89896,1.3873,0.001901,0.001901,0.001901
7,1623.92,1.26564,0.89314,1.32979,0.8844,0.78898,0.89038,0.54412,1.32871,0.83534,1.35071,0.0018812,0.0018812,0.0018812
8,1873.31,1.24222,0.86276,1.31181,0.8431,0.76343,0.83856,0.52162,1.32761,0.89515,1.34627,0.0018614,0.0018614,0.0018614
9,2103.02,1.22452,0.84371,1.29974,0.86639,0.82257,0.89575,0.56689,1.28734,0.76489,1.31794,0.0018416,0.0018416,0.0018416
10,2333.82,1.22445,0.83409,1.30052,0.91151,0.82241,0.91721,0.59137,1.24585,0.72186,1.28718,0.0018218,0.0018218,0.0018218
11,2578.52,1.21131,0.81282,1.29006,0.90186,0.81483,0.90663,0.58224,1.2623,0.75656,1.30796,0.001802,0.001802,0.001802
12,2760.77,1.20256,0.79899,1.28249,0.88356,0.82007,0.90656,0.58193,1.23331,0.73056,1.27466,0.0017822,0.0017822,0.0017822
13,2936.22,1.19332,0.78513,1.27392,0.90906,0.82999,0.91869,0.58633,1.23574,0.71056,1.28643,0.0017624,0.0017624,0.0017624
14,3172.39,1.18981,0.77813,1.26889,0.89009,0.84587,0.91847,0.57755,1.26223,0.72783,1.29348,0.0017426,0.0017426,0.0017426
15,3382.38,1.17556,0.76085,1.26011,0.89562,0.8369,0.91901,0.58994,1.23513,0.69119,1.29208,0.0017228,0.0017228,0.0017228
16,3579.04,1.18409,0.77149,1.26602,0.9037,0.84105,0.92077,0.59489,1.2132,0.69829,1.26046,0.001703,0.001703,0.001703
17,3763.37,1.16866,0.74103,1.25935,0.9012,0.83295,0.91822,0.58995,1.23561,0.69298,1.2767,0.0016832,0.0016832,0.0016832
18,3963.01,1.16536,0.73787,1.25587,0.90216,0.82635,0.91168,0.58252,1.26514,0.6906,1.30047,0.0016634,0.0016634,0.0016634
19,4157.59,1.15959,0.7368,1.25348,0.89742,0.85074,0.92808,0.60314,1.21469,0.67246,1.2661,0.0016436,0.0016436,0.0016436
20,4362.84,1.14566,0.72403,1.24708,0.89949,0.85074,0.92644,0.60051,1.21788,0.65563,1.27169,0.0016238,0.0016238,0.0016238
21,4548.07,1.15237,0.7194,1.25085,0.90219,0.84613,0.92748,0.60586,1.22094,0.66202,1.26306,0.001604,0.001604,0.001604
22,4760.13,1.15123,0.72053,1.24483,0.91418,0.85639,0.9354,0.60809,1.21117,0.64662,1.25603,0.0015842,0.0015842,0.0015842
23,4962.6,1.13545,0.6995,1.23966,0.92948,0.85107,0.93582,0.62196,1.19376,0.62152,1.24584,0.0015644,0.0015644,0.0015644
24,5133.79,1.13958,0.70196,1.23669,0.90879,0.86129,0.92984,0.60965,1.21178,0.63576,1.26378,0.0015446,0.0015446,0.0015446
25,5327.42,1.12957,0.69402,1.23699,0.91989,0.86491,0.94525,0.62983,1.18016,0.60694,1.23816,0.0015248,0.0015248,0.0015248
26,5508.57,1.1359,0.69592,1.23591,0.91162,0.85987,0.93765,0.61529,1.19644,0.63218,1.24259,0.001505,0.001505,0.001505
27,5700.31,1.11643,0.68305,1.22887,0.91557,0.86113,0.94024,0.61617,1.22326,0.62103,1.25391,0.0014852,0.0014852,0.0014852
28,5906.45,1.11504,0.66897,1.22036,0.89857,0.87276,0.9331,0.61451,1.21402,0.62402,1.25851,0.0014654,0.0014654,0.0014654
29,6105.33,1.11461,0.67072,1.2202,0.91291,0.86689,0.94199,0.62448,1.18191,0.61138,1.23496,0.0014456,0.0014456,0.0014456
30,6317.17,1.10947,0.67337,1.21827,0.91188,0.87446,0.94549,0.62607,1.18595,0.5984,1.22948,0.0014258,0.0014258,0.0014258
31,6559.7,1.09873,0.65527,1.20972,0.91912,0.8724,0.94447,0.6287,1.20118,0.58833,1.23794,0.001406,0.001406,0.001406
32,6765.59,1.09768,0.65404,1.20829,0.92471,0.85789,0.94057,0.62299,1.18855,0.60584,1.23465,0.0013862,0.0013862,0.0013862
33,7009.48,1.09465,0.64813,1.20662,0.92031,0.86853,0.94576,0.63201,1.17886,0.58921,1.22958,0.0013664,0.0013664,0.0013664
34,7223.64,1.10168,0.64799,1.20917,0.92227,0.86788,0.94342,0.6358,1.15827,0.59005,1.22077,0.0013466,0.0013466,0.0013466
35,7463.89,1.08076,0.63782,1.20107,0.93556,0.86579,0.94664,0.63902,1.15569,0.57377,1.21519,0.0013268,0.0013268,0.0013268
36,7663.06,1.07682,0.62968,1.19823,0.91124,0.88995,0.94806,0.63329,1.1667,0.56659,1.22429,0.001307,0.001307,0.001307
37,7847.4,1.07525,0.62729,1.1999,0.9251,0.87117,0.94744,0.63713,1.16368,0.57381,1.22139,0.0012872,0.0012872,0.0012872
38,8008.87,1.07545,0.62678,1.19848,0.92242,0.8815,0.94949,0.64255,1.15446,0.5671,1.21273,0.0012674,0.0012674,0.0012674
39,8208.74,1.07216,0.61951,1.19238,0.92408,0.87023,0.94725,0.63526,1.17406,0.57226,1.22027,0.0012476,0.0012476,0.0012476
40,8443.94,1.07105,0.61411,1.19182,0.91523,0.88237,0.94814,0.63969,1.15766,0.56735,1.224,0.0012278,0.0012278,0.0012278
41,8658.97,1.06781,0.61595,1.19457,0.9053,0.89852,0.95109,0.64476,1.15577,0.5571,1.22186,0.001208,0.001208,0.001208
42,8903.91,1.06335,0.61877,1.18881,0.9246,0.87842,0.94934,0.64232,1.15507,0.5534,1.21627,0.0011882,0.0011882,0.0011882
43,9130.59,1.06307,0.61,1.18487,0.92683,0.886,0.94946,0.64167,1.16446,0.56078,1.22233,0.0011684,0.0011684,0.0011684
44,9305.02,1.05194,0.59567,1.18282,0.92492,0.88484,0.95367,0.64688,1.15306,0.55831,1.21684,0.0011486,0.0011486,0.0011486
45,9504,1.04252,0.58866,1.17286,0.92801,0.88771,0.95439,0.64894,1.16489,0.54294,1.22301,0.0011288,0.0011288,0.0011288
46,9730.59,1.03944,0.58473,1.1769,0.93397,0.89017,0.95203,0.65013,1.14823,0.54562,1.21325,0.001109,0.001109,0.001109
47,9901.7,1.04499,0.59141,1.17908,0.93191,0.89094,0.95494,0.64691,1.15807,0.5379,1.21416,0.0010892,0.0010892,0.0010892
48,10094.7,1.04449,0.58559,1.17543,0.9336,0.89654,0.95693,0.65365,1.15026,0.53521,1.2085,0.0010694,0.0010694,0.0010694
49,10321.7,1.03384,0.57894,1.17278,0.92962,0.88781,0.95366,0.64967,1.15939,0.53655,1.2197,0.0010496,0.0010496,0.0010496
50,10541.2,1.0376,0.58015,1.1685,0.92448,0.89259,0.95266,0.64812,1.16043,0.53638,1.21387,0.0010298,0.0010298,0.0010298
51,10748.4,1.02469,0.56641,1.16691,0.92507,0.89088,0.95276,0.6511,1.14937,0.53296,1.208,0.00101,0.00101,0.00101
52,10975.5,1.02836,0.57415,1.16561,0.92484,0.89292,0.9531,0.64897,1.15632,0.53516,1.21574,0.0009902,0.0009902,0.0009902
53,11161.2,1.01833,0.56391,1.16252,0.92341,0.89259,0.95468,0.6518,1.15108,0.53121,1.21204,0.0009704,0.0009704,0.0009704
54,11369.2,1.02386,0.56855,1.16383,0.93391,0.89395,0.95797,0.64995,1.15776,0.52963,1.2223,0.0009506,0.0009506,0.0009506
55,11527.7,1.01361,0.55594,1.15743,0.92978,0.89489,0.95676,0.65358,1.15041,0.51948,1.2171,0.0009308,0.0009308,0.0009308
56,11706.3,1.01215,0.55799,1.15662,0.93958,0.8916,0.9584,0.65341,1.16223,0.52031,1.22008,0.000911,0.000911,0.000911
57,11867.2,1.00842,0.55035,1.15445,0.92764,0.89226,0.9563,0.65241,1.15242,0.51621,1.20932,0.0008912,0.0008912,0.0008912
58,12073.6,1.00711,0.55117,1.15157,0.92857,0.89061,0.95581,0.65338,1.15503,0.51602,1.21144,0.0008714,0.0008714,0.0008714
59,12283.9,1.01104,0.54799,1.15321,0.93315,0.89061,0.955,0.65479,1.15104,0.51525,1.2139,0.0008516,0.0008516,0.0008516
60,12475.2,0.99917,0.54729,1.15241,0.92299,0.89646,0.95547,0.65307,1.14446,0.52128,1.20855,0.0008318,0.0008318,0.0008318
61,12665,0.98821,0.53974,1.14244,0.93005,0.89375,0.95322,0.65516,1.14298,0.52046,1.20968,0.000812,0.000812,0.000812
62,12878,0.99634,0.5371,1.14644,0.93455,0.88913,0.95421,0.65569,1.14757,0.51604,1.20818,0.0007922,0.0007922,0.0007922
63,13069.8,0.98508,0.53479,1.1368,0.92759,0.90016,0.95741,0.6549,1.15077,0.51398,1.20837,0.0007724,0.0007724,0.0007724
64,13291.1,0.98896,0.53655,1.13626,0.93026,0.8966,0.95779,0.65562,1.15455,0.50941,1.21664,0.0007526,0.0007526,0.0007526
65,13485.2,0.98304,0.53061,1.14252,0.93579,0.89292,0.95651,0.65234,1.15825,0.51465,1.22026,0.0007328,0.0007328,0.0007328
66,13710.8,0.97846,0.52379,1.13631,0.94465,0.88856,0.95845,0.6559,1.15468,0.50738,1.20837,0.000713,0.000713,0.000713
67,13942.6,0.97027,0.52231,1.13108,0.93816,0.88977,0.95525,0.65712,1.15019,0.50816,1.21084,0.0006932,0.0006932,0.0006932
68,14214.5,0.96182,0.51857,1.13234,0.93486,0.89325,0.95549,0.65465,1.15228,0.50481,1.21681,0.0006734,0.0006734,0.0006734
69,14446.6,0.96745,0.51764,1.13219,0.92838,0.90122,0.95797,0.65534,1.15874,0.50573,1.22415,0.0006536,0.0006536,0.0006536
70,14691.4,0.96482,0.51781,1.13014,0.93114,0.89852,0.95781,0.65579,1.15624,0.50311,1.22206,0.0006338,0.0006338,0.0006338
71,14925.9,0.96011,0.51419,1.12833,0.93322,0.89792,0.95717,0.65834,1.15956,0.50064,1.21779,0.000614,0.000614,0.000614
72,15174,0.95567,0.50515,1.12728,0.93402,0.89557,0.95685,0.6552,1.1622,0.50719,1.22009,0.0005942,0.0005942,0.0005942
73,15423.9,0.95894,0.50453,1.12387,0.93047,0.90247,0.95808,0.65536,1.15999,0.50469,1.21804,0.0005744,0.0005744,0.0005744
74,15681.1,0.95008,0.49912,1.11925,0.93084,0.89621,0.9564,0.65699,1.15722,0.50209,1.21414,0.0005546,0.0005546,0.0005546
75,15931.6,0.9463,0.50031,1.12008,0.93255,0.8974,0.95727,0.65608,1.15861,0.49745,1.21889,0.0005348,0.0005348,0.0005348
76,16207.8,0.94232,0.4945,1.11369,0.93165,0.90267,0.95935,0.65701,1.15749,0.49829,1.21819,0.000515,0.000515,0.000515
77,16471.6,0.94876,0.49611,1.12027,0.93853,0.8954,0.95749,0.65835,1.15861,0.49485,1.21907,0.0004952,0.0004952,0.0004952
78,16793.3,0.9403,0.49126,1.11681,0.93677,0.89336,0.95781,0.65604,1.16264,0.49812,1.2226,0.0004754,0.0004754,0.0004754
79,17180.8,0.94165,0.49634,1.11519,0.92395,0.90049,0.95527,0.65642,1.15578,0.49379,1.21695,0.0004556,0.0004556,0.0004556
80,17617.6,0.93846,0.48735,1.10884,0.92175,0.90435,0.95659,0.65846,1.15631,0.49695,1.21509,0.0004358,0.0004358,0.0004358
81,20920.3,0.92927,0.4852,1.10694,0.9243,0.90118,0.95491,0.65872,1.15448,0.49648,1.21978,0.000416,0.000416,0.000416
82,21082.9,0.93169,0.48321,1.10806,0.92341,0.90247,0.95745,0.65899,1.15579,0.49559,1.21989,0.0003962,0.0003962,0.0003962
83,21250.8,0.91585,0.47523,1.10556,0.93037,0.89815,0.9578,0.65833,1.15558,0.49406,1.21952,0.0003764,0.0003764,0.0003764
84,21443.8,0.91396,0.47231,1.09521,0.92974,0.89456,0.95375,0.65721,1.16121,0.49544,1.22475,0.0003566,0.0003566,0.0003566
85,21607.5,0.91592,0.47282,1.09919,0.92608,0.89951,0.9545,0.65711,1.1633,0.49318,1.22457,0.0003368,0.0003368,0.0003368
86,21783.8,0.92162,0.47643,1.10445,0.92542,0.90181,0.95566,0.6574,1.16256,0.49304,1.22623,0.000317,0.000317,0.000317
87,21970.5,0.91395,0.46662,1.1,0.931,0.9028,0.95574,0.65683,1.16682,0.49411,1.22898,0.0002972,0.0002972,0.0002972
88,22173,0.90671,0.46579,1.09487,0.93587,0.90115,0.95494,0.65728,1.16343,0.49236,1.22883,0.0002774,0.0002774,0.0002774
89,22367.6,0.90338,0.46074,1.09613,0.93544,0.90231,0.95449,0.65749,1.16542,0.49435,1.23173,0.0002576,0.0002576,0.0002576
90,22574.9,0.90686,0.46317,1.097,0.92746,0.90741,0.95551,0.65566,1.16817,0.49426,1.235,0.0002378,0.0002378,0.0002378
91,22884.5,0.91447,0.41733,1.08434,0.92577,0.90049,0.952,0.65109,1.1752,0.49948,1.23956,0.000218,0.000218,0.000218
92,23065,0.89344,0.4014,1.07006,0.9298,0.89897,0.95115,0.65137,1.16991,0.49936,1.23546,0.0001982,0.0001982,0.0001982
93,23311.6,0.87871,0.39343,1.06071,0.92641,0.90313,0.95155,0.65412,1.1667,0.49928,1.23345,0.0001784,0.0001784,0.0001784
94,23563.7,0.87484,0.39188,1.06225,0.92553,0.90085,0.95183,0.65468,1.16398,0.49986,1.2321,0.0001586,0.0001586,0.0001586
95,23728.6,0.86865,0.38609,1.05977,0.92805,0.89676,0.95116,0.65421,1.16547,0.49573,1.23373,0.0001388,0.0001388,0.0001388
96,23864.4,0.86765,0.385,1.05918,0.92834,0.89819,0.95153,0.65512,1.16443,0.49388,1.23305,0.000119,0.000119,0.000119
97,23999,0.86008,0.38184,1.05203,0.93336,0.89534,0.95161,0.65467,1.16546,0.49457,1.23744,9.92e-05,9.92e-05,9.92e-05
98,24133.5,0.85382,0.37564,1.04651,0.92977,0.89621,0.95217,0.65532,1.16395,0.49409,1.23706,7.94e-05,7.94e-05,7.94e-05
99,24269.7,0.85618,0.37782,1.05125,0.93438,0.89226,0.95214,0.65531,1.16468,0.49433,1.23764,5.96e-05,5.96e-05,5.96e-05
100,24405,0.84913,0.37512,1.04503,0.9307,0.89588,0.95127,0.65516,1.16496,0.49437,1.23856,3.98e-05,3.98e-05,3.98e-05
